Data;value
2021-01-12;627.0
2021-01-13;849.0
2021-01-14;699.0
2021-01-15;895.0
2021-01-16;245.0
2021-01-17;258.0
2021-01-18;766.0
2021-01-19;94.0
2021-01-20;888.0
2021-01-21;194.0
2021-01-22;158.0
2021-01-23;100.0
2021-01-24;140.0
2021-01-25;1009.0
2021-01-26;857.0
2021-01-27;715.0
2021-01-28;701.0
2021-01-29;847.0
2021-01-30;252.0
2021-01-31;88.0
2021-02-01;904.0
2021-02-02;1094.0
2021-02-03;916.0
2021-02-04;872.0
2021-02-05;908.0
2021-02-06;120.0
2021-02-07;187.0
2021-02-08;1018.0
2021-02-09;1050.0
2021-02-10;1109.0
2021-02-11;1090.0
2021-02-12;1095.0
2021-02-13;270.0
2021-02-14;556.0
2021-02-15;242.0
2021-02-16;98.0
2021-02-17;1017.0
2021-02-18;995.0
2021-02-19;192.0
2021-02-20;718.0
2021-02-21;179.0
2021-02-22;871.0
2021-02-23;886.0
2021-02-24;3.0
2021-02-27;38.0
2021-02-28;84.0
2021-03-01;79.0
2021-03-02;49.0
2021-03-03;322.0
2021-03-04;80.0
2021-03-05;54.0
2021-03-06;1.0
2021-03-11;41.0
2021-03-12;112.0
2021-03-13;104.0
2021-03-14;81.0
2021-03-15;82.0
2021-03-16;67.0
2021-03-17;81.0
2021-03-18;67.0
2021-03-19;12.0
2021-04-22;27.0
2021-04-23;21.0
2021-04-25;82.0
2021-04-26;26.0
2021-04-27;7.0
2021-04-29;16.0
2021-05-07;1.0
2021-05-08;4.0
2021-05-09;71.0
2021-05-10;1.0
2021-05-11;27.0
2021-05-12;1.0
2021-05-13;11.0
2021-05-14;17.0
2021-05-15;17.0
2021-05-19;549.0
2021-05-20;13.0
2021-05-21;132.0
2021-05-25;8.0
2021-05-27;376.0
2021-05-28;12.0
2021-05-29;1.0
2021-05-31;97.0
2021-06-07;99.0
2021-06-08;426.0
2021-06-09;461.0
2021-06-10;191.0
2021-06-11;470.0
2021-06-12;61.0
2021-06-13;49.0
2021-06-14;88.0
2021-06-15;2.0
2021-06-16;2.0
2021-06-18;3.0
2021-06-20;97.0
2021-06-23;1.0
2021-07-05;571.0
2021-07-06;616.0
2021-07-07;518.0
2021-07-08;501.0
2021-07-09;656.0
2021-07-10;12.0
