Data;value
2021-01-12;3.2125747
2021-01-13;4.1446323
2021-01-14;4.092937
2021-01-15;3.3303
2021-01-16;2.25444
2021-01-17;0.95394
2021-01-18;2.48071
2021-01-19;0.4673
2021-01-20;4.20552
2021-01-21;1.88808
2021-01-22;1.78702
2021-01-23;0.49218
2021-01-24;1.60857
2021-01-25;3.0518
2021-01-26;3.5784745
2021-01-27;2.8293562
2021-01-28;4.3556037
2021-01-29;3.1329
2021-01-30;1.14933
2021-01-31;0.92932
2021-02-01;4.082532
2021-02-02;3.7377021
2021-02-03;3.46541
2021-02-04;3.3824177
2021-02-05;3.8995507
2021-02-06;1.28126
2021-02-07;0.3593702
2021-02-08;2.5990324
2021-02-09;2.95169
2021-02-10;3.4947743
2021-02-11;4.4573913
2021-02-12;3.25088
2021-02-13;1.5050356
2021-02-14;1.68936
2021-02-15;0.8996416
2021-02-16;0.51829
2021-02-17;3.139449
2021-02-18;3.2321432
2021-02-19;0.8982082
2021-02-20;8.261657
2021-02-21;1.2853452
2021-02-22;3.15297
2021-02-23;3.3515837
2021-02-24;0.1116
2021-02-25;0.44797
2021-02-26;0.55186
2021-02-27;0.98023
2021-02-28;0.72925
2021-03-01;0.38005823
2021-03-02;0.41161
2021-03-03;4.1300735
2021-03-04;0.16791
2021-03-05;1.01405
2021-03-06;0.5721801
2021-03-07;0.7885054
2021-03-08;0.80906
2021-03-09;1.29472
2021-03-10;0.42238
2021-03-11;0.48536
2021-03-12;1.36114
2021-03-13;0.87977
2021-03-14;1.30893
2021-03-15;0.59923
2021-03-16;0.68587
2021-03-17;0.59763
2021-03-18;1.427
2021-03-19;1.78153
2021-03-20;0.79495
2021-03-21;0.99824
2021-03-22;0.27555
2021-03-23;0.69921
2021-03-24;0.59239
2021-03-25;0.5358
2021-03-26;0.41023
2021-03-27;0.08473
2021-03-28;0.03878
2021-03-29;0.14693001
2021-03-30;0.21404
2021-03-31;0.2115
2021-04-01;0.5344
2021-04-02;0.25715
2021-04-03;0.26948
2021-04-04;0.13346
2021-04-05;0.64563
2021-04-06;0.26451
2021-04-07;0.82565
2021-04-08;1.04242
2021-04-09;0.27651
2021-04-10;0.08112
2021-04-11;0.72515
2021-04-12;0.30265
2021-04-13;0.15969
2021-04-14;0.33314
2021-04-15;0.58382
2021-04-16;0.75038
2021-04-17;0.59788996
2021-04-18;1.01844
2021-04-19;0.15168001
2021-04-20;1.1875021
2021-04-21;0.34649
2021-04-22;0.37701
2021-04-23;0.38929
2021-04-24;0.74016
2021-04-25;0.89175
2021-04-26;0.40515
2021-04-27;0.15046
2021-04-28;0.8506
2021-04-29;0.38749
2021-04-30;0.28351
2021-05-01;0.87176
2021-05-02;1.08203
2021-05-03;0.63404
2021-05-04;0.90834
2021-05-05;0.54264
2021-05-06;0.41584998
2021-05-07;1.16342
2021-05-08;0.70759
2021-05-09;0.78405
2021-05-10;0.53019
2021-05-11;0.34363
2021-05-12;0.39608
2021-05-13;0.27186
2021-05-14;0.61739004
2021-05-15;0.15924999
2021-05-16;1.23082
2021-05-17;0.70821
2021-05-18;0.49091
2021-05-19;1.07929
2021-05-20;0.23577
2021-05-21;0.22792
2021-05-22;1.17882
2021-05-23;0.42319
2021-05-24;0.35332
2021-05-25;0.34744
2021-05-26;0.57637
2021-05-27;1.374447
2021-05-28;1.6117201
2021-05-29;0.77887
2021-05-30;0.43797
2021-05-31;1.25871
2021-06-01;0.15941
2021-06-02;0.59818
2021-06-03;0.57901
2021-06-04;1.01603
2021-06-05;0.35186
2021-06-06;0.74402
2021-06-07;0.75467
2021-06-08;0.47063002
2021-06-09;0.77724
2021-06-10;0.54324996
2021-06-11;0.74655
2021-06-12;1.06571
2021-06-13;1.2254
2021-06-14;1.03926
2021-06-15;0.48291
2021-06-16;1.05287
2021-06-17;0.82925
2021-06-18;1.14697
2021-06-19;1.06538
2021-06-20;3.06274
2021-06-21;0.60924
2021-06-22;0.61188
2021-06-23;0.30795
2021-06-24;0.34676
2021-06-25;1.41763
2021-06-26;1.24649
2021-06-27;0.73597
2021-06-28;0.76673996
2021-06-29;0.54123
2021-06-30;0.51912
2021-07-01;0.2965
2021-07-02;2.27731
2021-07-03;1.13525
2021-07-04;0.88183
2021-07-05;2.358685
2021-07-06;2.56928
2021-07-07;1.72069
2021-07-08;2.30619
2021-07-09;2.64296
2021-07-10;0.0916
