Data;distance
12/01/2021;3.2125747
13/01/2021;4.1446323
14/01/2021;4.092937
15/01/2021;3.3303
16/01/2021;2.25444
17/01/2021;0.95394
18/01/2021;2.48071
19/01/2021;0.4673
20/01/2021;4.20552
21/01/2021;1.88808
22/01/2021;1.78702
23/01/2021;0.49218
24/01/2021;1.60857
25/01/2021;3.0518
26/01/2021;3.5784745
27/01/2021;2.8293562
28/01/2021;4.3556037
29/01/2021;3.1329
30/01/2021;1.14933
31/01/2021;0.92932
01/02/2021;4.082532
02/02/2021;3.7377021
03/02/2021;3.46541
04/02/2021;3.3824177
05/02/2021;3.8995507
06/02/2021;1.28126
07/02/2021;0.3593702
08/02/2021;2.5990324
09/02/2021;2.95169
10/02/2021;3.4947743
11/02/2021;4.4573913
12/02/2021;3.25088
13/02/2021;1.5050356
14/02/2021;1.68936
15/02/2021;0.8996416
16/02/2021;0.51829
17/02/2021;3.139449
18/02/2021;3.2321432
19/02/2021;0.8982082
20/02/2021;8.261657
21/02/2021;1.2853452
22/02/2021;3.15297
23/02/2021;3.3515837
24/02/2021;0.1116
25/02/2021;0.44797
26/02/2021;0.55186
27/02/2021;0.98023
28/02/2021;0.72925
01/03/2021;0.38005823
02/03/2021;0.41161
03/03/2021;4.1300735
04/03/2021;0.16791
05/03/2021;1.01405
06/03/2021;0.5721801
07/03/2021;0.7885054
08/03/2021;0.80906
09/03/2021;1.29472
10/03/2021;0.42238
11/03/2021;0.48536
12/03/2021;1.36114
13/03/2021;0.87977
14/03/2021;1.30893
15/03/2021;0.59923
16/03/2021;0.68587
17/03/2021;0.59763
18/03/2021;1.427
19/03/2021;1.78153
20/03/2021;0.79495
21/03/2021;0.99824
22/03/2021;0.27555
23/03/2021;0.69921
24/03/2021;0.59239
25/03/2021;0.5358
26/03/2021;0.41023
27/03/2021;0.08473
28/03/2021;0.03878
29/03/2021;0.14693001
30/03/2021;0.21404
31/03/2021;0.2115
01/04/2021;0.5344
02/04/2021;0.25715
03/04/2021;0.26948
04/04/2021;0.13346
05/04/2021;0.64563
06/04/2021;0.26451
07/04/2021;0.82565
08/04/2021;1.04242
09/04/2021;0.27651
10/04/2021;0.08112
11/04/2021;0.72515
12/04/2021;0.30265
13/04/2021;0.15969
14/04/2021;0.33314
15/04/2021;0.58382
16/04/2021;0.75038
17/04/2021;0.59788996
18/04/2021;1.01844
19/04/2021;0.15168001
20/04/2021;1.1875021
21/04/2021;0.34649
22/04/2021;0.37701
23/04/2021;0.38929
24/04/2021;0.74016
25/04/2021;0.89175
26/04/2021;0.40515
27/04/2021;0.15046
28/04/2021;0.8506
29/04/2021;0.38749
30/04/2021;0.28351
01/05/2021;0.87176
02/05/2021;1.08203
03/05/2021;0.63404
04/05/2021;0.90834
05/05/2021;0.54264
06/05/2021;0.41584998
07/05/2021;1.16342
08/05/2021;0.70759
09/05/2021;0.78405
10/05/2021;0.53019
11/05/2021;0.34363
12/05/2021;0.39608
13/05/2021;0.27186
14/05/2021;0.61739004
15/05/2021;0.15924999
16/05/2021;1.23082
17/05/2021;0.70821
18/05/2021;0.49091
19/05/2021;1.07929
20/05/2021;0.23577
21/05/2021;0.22792
22/05/2021;1.17882
23/05/2021;0.42319
24/05/2021;0.35332
25/05/2021;0.34744
26/05/2021;0.57637
27/05/2021;1.374447
28/05/2021;1.6117201
29/05/2021;0.77887
30/05/2021;0.43797
31/05/2021;1.25871
01/06/2021;0.15941
02/06/2021;0.59818
03/06/2021;0.57901
04/06/2021;1.01603
05/06/2021;0.35186
06/06/2021;0.74402
07/06/2021;0.75467
08/06/2021;0.47063002
09/06/2021;0.77724
10/06/2021;0.54324996
11/06/2021;0.74655
12/06/2021;1.06571
13/06/2021;1.2254
14/06/2021;1.03926
15/06/2021;0.48291
16/06/2021;1.05287
17/06/2021;0.82925
18/06/2021;1.14697
19/06/2021;1.06538
20/06/2021;3.06274
21/06/2021;0.60924
22/06/2021;0.61188
23/06/2021;0.30795
24/06/2021;0.34676
25/06/2021;1.41763
26/06/2021;1.24649
27/06/2021;0.73597
28/06/2021;0.76673996
29/06/2021;0.54123
30/06/2021;0.51912
01/07/2021;0.2965
02/07/2021;2.27731
03/07/2021;1.13525
04/07/2021;0.88183
05/07/2021;2.358685
06/07/2021;2.56928
07/07/2021;1.72069
08/07/2021;2.30619
09/07/2021;2.64296
10/07/2021;0.0916
