index;date;kcal;heartRate;distance
0;12/01/2021;627;87.838326;3.2125747
1;13/01/2021;849;86.64165;4.1446323
2;14/01/2021;699;78.389656;4.092937
3;15/01/2021;895;78.038376;3.3303
4;16/01/2021;245;78.6;2.25444
5;17/01/2021;258;75.85381;0.95394
6;18/01/2021;766;67.974525;2.48071
7;19/01/2021;94;69.445435;0.4673
8;20/01/2021;888;76.21014;4.20552
9;21/01/2021;194;75.21105;1.88808
10;22/01/2021;158;70.32912;1.78702
11;23/01/2021;100;68.50218;0.49218
12;24/01/2021;140;73.70085;1.60857
13;25/01/2021;1009;78.328156;3.0518
14;26/01/2021;857;81.196556;3.5784745
15;27/01/2021;715;76.02317;2.8293562
16;28/01/2021;701;78.33756;4.3556037
17;29/01/2021;847;77.884415;3.1329
18;30/01/2021;252;74.85969;1.14933
19;31/01/2021;88;71.42001;0.92932
20;01/02/2021;904;72.58188;4.082532
21;02/02/2021;1094;75.473335;3.7377021
22;03/02/2021;916;75.64;3.46541
23;04/02/2021;872;73.51291;3.3824177
24;05/02/2021;908;72.632515;3.8995507
25;06/02/2021;120;66.060646;1.28126
26;07/02/2021;187;69.92111;0.3593702
27;08/02/2021;1018;73.39283;2.5990324
28;09/02/2021;1050;83.53341;2.95169
29;10/02/2021;1109;74.323425;3.4947743
30;11/02/2021;1090;76.438;4.4573913
31;12/02/2021;1095;76.70451;3.25088
32;13/02/2021;270;73.49752;1.5050356
33;14/02/2021;556;73.759575;1.68936
34;15/02/2021;242;72.18104;0.8996416
35;16/02/2021;98;65.53478;0.51829
36;17/02/2021;1017;91.75;3.139449
37;18/02/2021;995;75.34375;3.2321432
38;19/02/2021;192;74.32664;0.8982082
39;20/02/2021;718;77.971794;8.261657
40;21/02/2021;179;77.91801;1.2853452
41;22/02/2021;871;73.31151;3.15297
42;23/02/2021;886;91.13753;3.3515837
43;24/02/2021;3;78.61157;0.1116
44;27/02/2021;38;79.04205;0.98023
45;28/02/2021;84;71.50822;0.72925
46;01/03/2021;79;74.955124;0.38005823
47;02/03/2021;49;70.20427;0.41161
48;03/03/2021;322;72.441154;4.1300735
49;04/03/2021;80;69.94915;0.16791
50;05/03/2021;54;69.689186;1.01405
51;06/03/2021;1;89.5;0.5721801
52;11/03/2021;41;74.961945;0.48536
53;12/03/2021;112;69.536095;1.36114
54;13/03/2021;104;70.967094;0.87977
55;14/03/2021;81;72.06874;1.30893
56;15/03/2021;82;71.21022;0.59923
57;16/03/2021;67;71.674484;0.68587
58;17/03/2021;81;74.45843;0.59763
59;18/03/2021;67;69.158844;1.427
60;19/03/2021;12;76.61667;1.78153
61;22/04/2021;27;81.376236;0.37701
62;23/04/2021;21;80.588234;0.38929
63;25/04/2021;82;82.67196;0.89175
64;26/04/2021;26;80.812805;0.40515
65;27/04/2021;7;80.11232;0.15046
66;29/04/2021;16;86.92308;0.38749
67;07/05/2021;1;78.94215;1.16342
68;08/05/2021;4;77.816666;0.70759
69;09/05/2021;71;81.90508;0.78405
70;10/05/2021;1;76.111115;0.53019
71;11/05/2021;27;78.31166;0.34363
72;12/05/2021;1;75.79592;0.39608
73;13/05/2021;11;76.53488;0.27186
74;14/05/2021;17;77.36338;0.61739004
75;15/05/2021;17;77.05426;0.15924999
76;19/05/2021;549;110.3125;1.07929
77;20/05/2021;13;79.60577;0.23577
78;21/05/2021;132;112.23404;0.22792
79;25/05/2021;8;79.28704;0.34744
80;27/05/2021;376;95.87668;1.374447
81;28/05/2021;12;83.43617;1.6117201
82;29/05/2021;1;72.75;0.77887
83;31/05/2021;97;111.625;1.25871
84;07/06/2021;99;106.96774;0.75467
85;08/06/2021;426;88.66993;0.47063002
86;09/06/2021;461;80.1657;0.77724
87;10/06/2021;191;93.38356;0.54324996
88;11/06/2021;470;98.49419;0.74655
89;12/06/2021;61;90.578125;1.06571
90;13/06/2021;49;95.675674;1.2254
91;14/06/2021;88;75.96258;1.03926
92;15/06/2021;2;72.55446;0.48291
93;16/06/2021;2;75.53333;1.05287
94;18/06/2021;3;91;1.14697
95;20/06/2021;97;80.55643;3.06274
96;23/06/2021;1;76.6;0.30795
97;05/07/2021;571;76.41752;2.358685
98;06/07/2021;616;77.063705;2.56928
99;07/07/2021;518;79.044106;1.72069
100;08/07/2021;501;75.08455;2.30619
101;09/07/2021;656;74.32261;2.64296
102;10/07/2021;12;77.67974;0.0916
