Data;value
2021-01-12;87.838326
2021-01-13;86.64165
2021-01-14;78.389656
2021-01-15;78.038376
2021-01-16;78.6
2021-01-17;75.85381
2021-01-18;67.974525
2021-01-19;69.445435
2021-01-20;76.21014
2021-01-21;75.21105
2021-01-22;70.32912
2021-01-23;68.50218
2021-01-24;73.70085
2021-01-25;78.328156
2021-01-26;81.196556
2021-01-27;76.02317
2021-01-28;78.33756
2021-01-29;77.884415
2021-01-30;74.85969
2021-01-31;71.42001
2021-02-01;72.58188
2021-02-02;75.473335
2021-02-03;75.64
2021-02-04;73.51291
2021-02-05;72.632515
2021-02-06;66.060646
2021-02-07;69.92111
2021-02-08;73.39283
2021-02-09;83.53341
2021-02-10;74.323425
2021-02-11;76.438
2021-02-12;76.70451
2021-02-13;73.49752
2021-02-14;73.759575
2021-02-15;72.18104
2021-02-16;65.53478
2021-02-17;91.75
2021-02-18;75.34375
2021-02-19;74.32664
2021-02-20;77.971794
2021-02-21;77.91801
2021-02-22;73.31151
2021-02-23;91.13753
2021-02-24;78.61157
2021-02-26;71.333336
2021-02-27;79.04205
2021-02-28;71.50822
2021-03-01;74.955124
2021-03-02;70.20427
2021-03-03;72.441154
2021-03-04;69.94915
2021-03-05;69.689186
2021-03-06;89.5
2021-03-11;74.961945
2021-03-12;69.536095
2021-03-13;70.967094
2021-03-14;72.06874
2021-03-15;71.21022
2021-03-16;71.674484
2021-03-17;74.45843
2021-03-18;69.158844
2021-03-19;76.61667
2021-04-22;81.376236
2021-04-23;80.588234
2021-04-24;81.0
2021-04-25;82.67196
2021-04-26;80.812805
2021-04-27;80.11232
2021-04-28;75.13333
2021-04-29;86.92308
2021-05-07;78.94215
2021-05-08;77.816666
2021-05-09;81.90508
2021-05-10;76.111115
2021-05-11;78.31166
2021-05-12;75.79592
2021-05-13;76.53488
2021-05-14;77.36338
2021-05-15;77.05426
2021-05-16;80.7
2021-05-19;110.3125
2021-05-20;79.60577
2021-05-21;112.23404
2021-05-22;86.0
2021-05-23;77.0
2021-05-24;84.0
2021-05-25;79.28704
2021-05-26;64.0
2021-05-27;95.87668
2021-05-28;83.43617
2021-05-29;72.75
2021-05-30;88.0
2021-05-31;111.625
2021-06-01;83.0
2021-06-07;106.96774
2021-06-08;88.66993
2021-06-09;80.1657
2021-06-10;93.38356
2021-06-11;98.49419
2021-06-12;90.578125
2021-06-13;95.675674
2021-06-14;75.96258
2021-06-15;72.55446
2021-06-16;75.53333
2021-06-17;78.333336
2021-06-18;91.0
2021-06-19;64.0
2021-06-20;80.55643
2021-06-21;95.0
2021-06-22;72.0
2021-06-23;76.6
2021-07-05;76.41752
2021-07-06;77.063705
2021-07-07;79.044106
2021-07-08;75.08455
2021-07-09;74.32261
2021-07-10;77.67974
